no,question,answer_choices,answer,response
問26,水俣病に関する記述として誤っているのはどれか。,"１．原因物質はメチル水銀である。
２．腎臓の尿細管における再吸収機能が障害される。
３．原因物質は胎盤を通過して先天性疾患を引き起こす。
４．阿賀野川流域において同様の公害問題が発生した。
５．原因物質が蓄積した魚介類を摂取することにより発生した。",2,"水俣病に関する記述を検討しましょう。

１．原因物質はメチル水銀である。→これは正しい。水俣病の原因物質はメチル水銀です。

２．腎臓の尿細管における再吸収機能が障害される。→これは誤りです。水俣病は主に中枢神経系に影響を及ぼし、腎臓の尿細管の再吸収機能障害は主な症状ではありません。

３．原因物質は胎盤を通過して先天性疾患を引き起こす。→これは正しい。メチル水銀は胎盤を通過し、胎児に影響を与えることが知られています。

４．阿賀野川流域において同様の公害問題が発生した。→これは誤りです。水俣病は熊本県の水俣湾で発生しましたが、阿賀野川流域では新潟水俣病が発生しました。これは水俣病と似た症状を示すが、発生場所が異なるため、記述としては誤りです。

５．原因物質が蓄積した魚介類を摂取することにより発生した。→これは正しい。水俣病はメチル水銀が蓄積した魚介類の摂取によって引き起こされました。

したがって、誤っている記述は２と４です。しかし、質問では一つの選択肢を選ぶように求められています。２番目の選択肢は水俣病の症状に関する誤りであり、４番目の選択肢は発生場所に関する誤りです。水俣病の本質的な特徴と直接関係するのは症状に関する記述です。したがって、最も誤っている記述としては２番目の「腎臓の尿細管における再吸収機能が障害される。」が挙げられます。

答えは２です。"
問73,牛の産褥性子宮炎に関する記述として適切なのはどれか。,"１．分娩時および産褥期の子宮へのウイルス感染が直接的な原因である。
２．無色透明な粘液の排出がみられる。
３．食欲停止、体温上昇、頻脈などが認められる。
４．確定診断には超音波診断装置が必要である。
５．プロジェステロン製剤で治療する。",3,"牛の産褥性子宮炎は、分娩後の子宮に感染が起こる病態を指します。以下の選択肢を検討しましょう。

1. 分娩時および産褥期の子宮へのウイルス感染が直接的な原因である。
産褥性子宮炎は、通常、細菌による感染が原因であり、ウイルス感染が直接的な原因とは限りません。

2. 無色透明な粘液の排出がみられる。
産褥性子宮炎では、通常、異常な膿や臭いのある分泌物が排出されることが多いです。無色透明な粘液の排出は、産褥性子宮炎の特徴的な症状ではありません。

3. 食欲停止、体温上昇、頻脈などが認められる。
これは産褥性子宮炎の一般的な全身症状であり、感染による炎症反応が原因でこれらの症状が現れることがあります。

4. 確定診断には超音波診断装置が必要である。
超音波診断は子宮の状態を視覚化するのに役立つツールですが、産褥性子宮炎の確定診断には必ずしも必要ではありません。診断は臨床症状や子宮の触診、分泌物の検査などに基づいて行われることが多いです。

5. プロジェステロン製剤で治療する。
産褥性子宮炎の治療には、抗生物質が一般的に使用されます。プロジェステロン製剤は、この状態の治療には通常用いられません。

したがって、適切な記述は「3．食欲停止、体温上昇、頻脈などが認められる。」です。

答えは3です。"
問9,アフリカ豚熱（アフリカ豚コレラ）あるいはその病原体に関する記述として誤っているのはどれか。,"１．野生のイノシシがレゼルボアとなる。
２．ダニが媒介する。
３．臨床症状は豚熱（豚コレラ）と類似している。
４．ゲノムは直鎖状の 2 本鎖 DNA である。
５．ワクチンによる予防が有効である。
3",5,"アフリカ豚熱（African Swine Fever, ASF）は、アフリカ豚熱ウイルス（ASFV）によって引き起こされる感染症であり、豚やイノシシに影響を与えます。以下は各選択肢に関する正確な情報です：

１．野生のイノシシがレゼルボアとなる。→ 正しい。アフリカ豚熱ウイルスは、野生のイノシシの間で持続的に存在し、彼らは病原体のレゼルボア（宿主）となり得ます。

２．ダニが媒介する。→ 正しい。特にアフリカ大陸では、ソフトダニがアフリカ豚熱ウイルスの媒介者として知られています。

３．臨床症状は豚熱（豚コレラ）と類似している。→ 正しい。アフリカ豚熱と豚熱（別名クラシックスワインフィーバー）は、臨床症状が似ているためしばしば混同されますが、異なる病原体によって引き起こされます。

４．ゲノムは直鎖状の 2 本鎖 DNA である。→ 正しい。アフリカ豚熱ウイルスのゲノムは直鎖状の二本鎖DNAです。

５．ワクチンによる予防が有効である。→ 誤り。2023年時点で、アフリカ豚熱に対する商業的に利用可能なワクチンは存在しません。研究は進行中ですが、まだ広く使用されるワクチンは開発されていません。

したがって、誤っている記述は５．ワクチンによる予防が有効であるです。"
問5,ノミやダニの駆除に使用される昆虫幼若ホルモン類似薬はどれか。,"１．メトプレン
２．フィプロニル
３．ルフェヌロン
４．アレスリン
５．カルバリル",1,"昆虫幼若ホルモン類似薬は、昆虫の成長を阻害するために使用される化学物質で、昆虫の幼虫が正常に成熟するのを妨げます。これらの薬剤は、特にノミやダニの駆除に効果的です。

選択肢を見てみましょう：

１．メトプレン - これは昆虫幼若ホルモン類似薬の一つで、ノミの成長を阻害するために使用されます。

２．フィプロニル - これは広範囲の昆虫に対して効果的な殺虫剤ですが、昆虫幼若ホルモン類似薬ではありません。

３．ルフェヌロン - これも昆虫幼若ホルモン類似薬の一つで、ノミの成長を阻害するために使用されます。

４．アレスリン - これは合成ピレスロイド系の殺虫剤で、昆虫幼若ホルモン類似薬ではありません。

５．カルバリル - これは広範囲の昆虫に対して効果的な殺虫剤ですが、昆虫幼若ホルモン類似薬ではありません。

したがって、昆虫幼若ホルモン類似薬はメトプレン（１）とルフェヌロン（３）です。

答えは１と３です。"
問24,食品や水の衛生管理状態を評価するために行われる微生物学的検査と、検査に用いられる培地の組合せとして正しいのはどれか。,"検査項目　　　　　　　　　　　　　 培地
１．一般生菌数　　 ――――――― 普通寒天培地
２．大腸菌群　　　 ――――――― AC 培地
３．糞便系大腸菌群 ――――――― EC 培地
４．従属栄養細菌　 ――――――― BGLB 培地
５．腸内細菌科菌群 ――――――― デソキシコレート寒天培地
8",3,"微生物学的検査において、特定の微生物群を検出・定量するためには、その微生物が成長するのに適した特定の培地を使用します。以下に各検査項目とそれに対応する培地を示します。

1. 一般生菌数 - 普通寒天培地（Plate Count Agar, PCA）: 一般生菌数を測定するために使用される基本的な培地です。
2. 大腸菌群 - EC培地（Escherichia coli medium）またはEndo培地など: 大腸菌群を検出するために特化した培地ですが、AC培地（Acetate Criterion agar）は一般的ではありません。
3. 糞便系大腸菌群 - EC培地: 糞便由来の大腸菌群を検出するために使用されます。
4. 従属栄養細菌 - R2A培地など: 従属栄養細菌は栄養要求が厳しいため、特に低栄養環境を模倣した培地が使用されます。BGLB培地（Brilliant Green Lactose Bile Broth）は大腸菌群の確認に使われることがありますが、従属栄養細菌の検査には一般的ではありません。
5. 腸内細菌科菌群 - デソキシコレート寒天培地: 腸内細菌科の菌群を選択的に検出するために使用される培地です。

したがって、正しい組み合わせは以下の通りです。

1. 一般生菌数 ― 普通寒天培地
3. 糞便系大腸菌群 ― EC培地
5. 腸内細菌科菌群 ― デソキシコレート寒天培地

よって、正しい組み合わせは1、3、5です。"
問79,粘液胞子虫による疾患はどれか。,"１．ヘテロボツリウム症
２．ベネデニア症
３．カリグス症
４．アミルージニウム症
５．筋肉クドア症",5,"粘液胞子虫による疾患を考えるとき、それぞれの選択肢が指す病気が粘液胞子虫に関連しているかどうかを検討する必要があります。粘液胞子虫は、水生環境に生息する微小な寄生生物であり、魚類を含む多くの水生動物に感染して病気を引き起こすことが知られています。

1. ヘテロボツリウム症 - これは粘液胞子虫による疾患ではありません。
2. ベネデニア症 - これも粘液胞子虫による疾患ではありません。
3. カリグス症 - これはカリグス属に属する寄生虫による疾患であり、粘液胞子虫によるものではありません。
4. アミルージニウム症 - これは粘液胞子虫による疾患ではありません。
5. 筋肉クドア症 - これはクドア属に属する粘液胞子虫によって引き起こされる疾患です。クドアは魚の筋肉組織に感染し、食品としての魚の品質を低下させることがあります。

したがって、粘液胞子虫による疾患は「５．筋肉クドア症」です。答えは5です。"
問37,雌雄ともに吸血するのはどれか。,"１．アブ
２．ヌカカ
３．ブユ
４．サシバエ
５．カ",4,"雌雄ともに吸血する昆虫について考えると、以下のようになります。

1. アブ - アブの中には吸血する種もいますが、一般的には雌のみが吸血する傾向にあります。
2. ヌカカ - ヌカカは吸血する昆虫ですが、通常は雌のみが吸血します。
3. ブユ - ブユも吸血する昆虫ですが、こちらも雌のみが吸血するのが一般的です。
4. サシバエ - サシバエは吸血しない昆虫で、主に腐敗した有機物を食べます。
5. カ - カの中には、雌雄ともに吸血する種がいます。例えば、ヤブカの一部は雌雄ともに吸血することが知られています。

したがって、雌雄ともに吸血する昆虫は「カ」です。

答えは５．カです。"
問30,リーシュマニア症あるいはその病原体に関する記述として適切なのはどれか。,"１．主に赤血球に感染する。
２．ベクターはサシチョウバエである。
３．サハラ砂漠以南のアフリカに限局して発生している。
４．内臓リーシュマニア症は睡眠病と呼ばれる。
５．ワクチンが実用化されている。
10",2,"リーシュマニア症は、リーシュマニア属の原虫によって引き起こされる病気です。それぞれの選択肢を見てみましょう。

1. 主に赤血球に感染する。 - これは誤りです。リーシュマニア症は主にマクロファージなどの白血球に感染します。

2. ベクターはサシチョウバエである。 - これは正しいです。リーシュマニア症はサシチョウバエ（ヒトスジシマカなど）によって媒介されます。

3. サハラ砂漠以南のアフリカに限局して発生している。 - これは誤りです。リーシュマニア症はサハラ砂漠以南のアフリカだけでなく、南アメリカ、中東、南ヨーロッパ、アジアの一部地域でも発生します。

4. 内臓リーシュマニア症は睡眠病と呼ばれる。 - これは誤りです。内臓リーシュマニア症はカラ・アザールとも呼ばれますが、睡眠病はトリパノソーマ属の原虫によって引き起こされる別の病気です。

5. ワクチンが実用化されている。 - これは誤りです。リーシュマニア症に対するワクチンは、2023年時点で実用化されていません。

したがって、適切な記述は2. ベクターはサシチョウバエであるです。

答えは2です。"
問43,猫の低コバラミン血症の原因として適切なのはどれか。,"１．巨大食道症
２．胆石症
３．慢性肝炎
４．膵外分泌不全
５．直腸腺癌",4,"コバラミン（ビタミンB12）は、主に腸で吸収される栄養素であり、特に小腸の末端部分である回腸での吸収が重要です。猫における低コバラミン血症の原因として考えられるのは、コバラミンの吸収に影響を与える疾患です。

１．巨大食道症 - これは食道の拡張を伴う疾患であり、食物の摂取に影響を与える可能性はありますが、直接コバラミンの吸収には関与しません。

２．胆石症 - 胆石症は胆汁の流れを妨げることがありますが、コバラミンの吸収には直接的な影響は少ないと考えられます。

３．慢性肝炎 - 肝炎は肝機能に影響を与えますが、コバラミンの吸収は主に腸で行われるため、慢性肝炎が直接低コバラミン血症を引き起こす主な原因ではありません。

４．膵外分泌不全 - 膵外分泌不全は消化酵素の不足を引き起こし、食物の消化吸収に影響を与えます。コバラミンの吸収には内因子と呼ばれるタンパク質が必要であり、この内因子は膵液と共に分泌されます。膵外分泌不全により内因子の分泌が不足すると、コバラミンの吸収が阻害され、低コバラミン血症を引き起こす可能性があります。

５．直腸腺癌 - 直腸腺癌は直腸に影響を与えますが、コバラミンの主な吸収部位は小腸であるため、直腸腺癌が直接低コバラミン血症を引き起こす原因とは考えにくいです。

したがって、猫の低コバラミン血症の原因として最も適切なのは「４．膵外分泌不全」です。膵外分泌不全は消化酵素の不足を引き起こし、コバラミンの吸収障害を招く可能性があるためです。

答えは４です。"
問64,犬の前十字靱帯断裂において二次的に損傷しやすい組織はどれか。,"１．内側半月
２．外側半月
３．膝蓋骨
４．外側側副靱帯
５．膝蓋靱帯",1,"犬の前十字靱帯断裂は、人間の前十字靭帯損傷と同様に、膝関節の不安定性を引き起こします。この不安定性は、膝関節内の他の構造に過剰なストレスをかけ、二次的な損傷を引き起こす可能性があります。特に、内側半月は前十字靱帯断裂に伴い損傷しやすい組織の一つです。これは、膝関節の不安定性により内側半月が異常な圧力を受けるためです。

したがって、犬の前十字靱帯断裂において二次的に損傷しやすい組織は「１．内側半月」です。"
