no,question,answer_choices,answer
問1,消化管運動機能を改善するのはどれか。,"a  メトクロプラミド
b  モサプリド
c  ブチルスコポラミン
d  ロペラミド
e  ドンペリドン
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e","1,2"
問2,金属中毒の治療薬はどれか。,"a  エデト酸カルシウム二ナトリウム
b  アトロピン
c  DL−メチオニン
d  メチレンブルー
e  D−ペニシラミン
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",2
問3,真菌感染症の治療薬はどれか。,"a  アムホテリシン B
b  ケトコナゾール
c  セファレキシン
d  ゲンタマイシン
e  クロラムフェニコール
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
1",1
問4,止血薬はどれか。,"１．ワルファリン
２．アスピリン
３．チクロピジン
４．クエン酸ナトリウム
５．カルバゾクロム",5
問5,ノミやダニの駆除に使用される昆虫幼若ホルモン類似薬はどれか。,"１．メトプレン
２．フィプロニル
３．ルフェヌロン
４．アレスリン
５．カルバリル",1
問6,犬の歯肉腫瘍に関する記述として適当でないのはどれか。,"１．アミロイド産生を伴う歯原性腫瘍が生じる。
２．高分化型線維肉腫は顎骨への浸潤性が強い。
３．局所浸潤性が強い扁平上皮癌を生じる。
４．有棘細胞性エナメル上皮腫は良性の限局性腫瘍である。
５．メラノサイト由来の腫瘍の多くは悪性腫瘍に分類される。
2",4
問7,犬の天疱瘡に関する記述として適当なのはどれか。,"a  メラノサイトが減少して色素脱出が生じる。
b  好酸球の浸潤が特徴である。
c  尋常性天疱瘡は口腔粘膜に病変が好発する。
d  犬では落葉状天疱瘡が最も発生頻度が高い。
e  アポトーシスに陥った表皮細胞を取り囲むようにリンパ球が出現する。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4
問8,老齢犬の心内膜症の肉眼所見として適切なのはどれか。,"a  石灰沈着
b  三尖弁に好発
c  心房の拡張
d  心内膜の線維化
e  弁膜血腫
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",4
問9,アフリカ豚熱（アフリカ豚コレラ）あるいはその病原体に関する記述として誤っているのはどれか。,"１．野生のイノシシがレゼルボアとなる。
２．ダニが媒介する。
３．臨床症状は豚熱（豚コレラ）と類似している。
４．ゲノムは直鎖状の 2 本鎖 DNA である。
５．ワクチンによる予防が有効である。
3",5
問10,SARS-CoV-2（新型コロナウイルス）に対する感受性が比較的高い動物はどれか。,"a  あひる
b  猫
c  フェレット
d  豚
e  鶏
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",3
問11,プリオンの不活化に用いられるのはどれか。,"a  SDS
b  ホルマリン
c  β−プロピオラクトン
d  エチレンオキサイドガス
e  次亜塩素酸ナトリウム
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",2
問12,抗体依存性感染増強（ADE）が関与するとされている疾患はどれか。,"１．狂犬病
２．犬ジステンパー
３．猫汎白血球減少症
４．猫伝染性腹膜炎
５．猫カリシウイルス病
4",4
問13,出産期のめん羊と同居していた牛が発熱し、口腔粘膜のびらんおよび角膜混濁を呈して死亡した。最も疑われる疾患はどれか。,"１．悪性カタル熱
２．牛パラインフルエンザ
３．牛流行熱
４．ネオスポラ症
５．牛コロナウイルス病",1
問14,豚熱（豚コレラ）に関する記述として適切なのはどれか。,"a  原因ウイルスは日本脳炎ウイルスと同じウイルス科に属する。
b  感染は肺だけに留まる。
c  感染細胞に細胞質内封入体が認められる。
d  我が国では発生農場においてワクチン非接種豚のみが殺処分の対象となる。
e  トキソプラズマ症との類症鑑別が必要である。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",2
問15,鶏で腫瘍を形成するのはどれか。,"１．鳥マイコプラズマ症（鶏マイコプラズマ病）
２．ニューカッスル病
３．家きんサルモネラ症
４．家きんコレラ
５．マレック病
5",5
問16,嚥下障害を主徴とする牛の疾患はどれか。,"１．牛マイコプラズマ病
２．牛 RS ウイルス病
３．牛伝染性鼻気管炎
４．牛流行熱
５．イバラキ病",5
問17,牛の小型ピロプラズマ症に関する記述として正しいのはどれか。,"１．血色素尿は通常みられない。
２．1 宿主性のマダニにより媒介される。
３．病原体は感染リンパ球の増殖を引き起こす。
４．アフリカ大陸で発生がみられる。
５．病原体はバベシア（Babesia）属に分類される。",1
