no,question,answer_choices,answer,response,result
問1,止瀉薬はどれか。,"a  ロペラミド
b  ベルベリン
c  ラクツロース
d  ピコスルファートナトリウム
e  グリセリン
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",1,1,True
問2,トキソプラズマ症の治療薬はどれか。,"１．ルフェヌロン
２．メラルソミン
３．スルファモノメトキシン
４．ビチオノール
５．アレスリン",3,3,True
問3,慢性うっ血性心不全に使用すべきでない薬はどれか。,"１．フロセミド
２．イソプロテレノール
３．ベナゼプリル
４．硝酸イソソルビド
５．カンデサルタン
1",2,2,True
問4,プロプラノロールに関する記述として誤っているのはどれか。,"１．βアドレナリン受容体拮抗薬である。
２．膜安定化作用を有する。
３．高血圧症に使用する。
４．気管支喘息に使用する。
５．心室性期外収縮に使用する。",4,4,True
問5,抗痙攣薬はどれか。,"a  ブチルスコポラミン
b  ストリキニーネ
c  アミノカプロン酸
d  バルプロ酸
e  フェノバルビタール
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",5,5,True
問6,牛のアカバネ病の組織病変に関する記述として適切なのはどれか。,"a  非化膿性脳脊髄炎
b  多発性非化膿性関節炎
c  股関節異形成症
d  成長板の軟骨内骨化不全
e  骨格筋の矮小筋症
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
2",2,2,True
問7,下垂体の疾患に関する記述として適当なのはどれか。,"a  頭蓋咽頭腫はトルコ鞍に発生する。
b  成長ホルモン産生腺腫は低血糖症を続発する。
c  下垂体性侏儒症は神経性下垂体の機能低下により起こる。
d  馬の多毛症はヌル細胞腺腫で認められる。
e  ACTH 産生腺腫はクッシング症候群の原因となる。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",2,2,True
問8,犬の消化管間質腫瘍に関する記述として適当なのはどれか。,"a  消化管内腔に向かってポリープ状に増殖する。
b  カハール介在細胞またはその幹細胞（未分化細胞）が起源とされている。
c  腫瘍細胞は KIT（CD117）を発現する。
d  良性腫瘍である。
e  腫瘍細胞は免疫組織化学的にサイトケラチンに陽性を示す。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",3,3,True
問9,豚で繁殖障害が問題となるウイルス性疾患はどれか。,"１．日本脳炎
２．豚水疱病
３．口蹄疫
４．豚流行性下痢
５．E 型肝炎
3",1,3,False
問10,幼犬に心筋炎を起こす疾患はどれか。,"１．犬伝染性肝炎
２．犬ジステンパー
３．犬パルボウイルス感染症
４．犬コロナウイルス感染症
５．狂犬病",3,2,False
問11,鼻疽の診断に用いられる反応はどれか。,"１．ツベルクリン反応
２．ヨーニン反応
３．シュワルツマン反応
４．膣粘液凝集反応
５．マレイン反応",5,5,True
問12,小反芻獣疫の原因となるウイルスが属する科はどれか。,"１．ヘルペスウイルス科
２．ラブドウイルス科
３．アルテリウイルス科
４．フラビウイルス科
５．パラミクソウイルス科
4",5,3,False
問13,インフルエンザウイルスに対するアマンタジンの作用機序はどれか。,"１．ウイルス RNA の合成阻害
２．ウイルス粒子の放出阻害
３．逆転写反応の阻害
４．ウイルスのプロテアーゼ阻害
５．脱殻阻害",5,5,True
問14,マレック病と同じウイルス科のウイルスが原因となる疾患はどれか。,"a  悪性カタル熱
b  牛流行熱
c  アフリカ馬疫
d  犬ジステンパー
e  猫ウイルス性鼻気管炎
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",2,1,False
問15,2021 年 12 月現在、我が国で承認されていないワクチンはどれか。,"１．アカバネ病ワクチン
２．猫伝染性腹膜炎ワクチン
３．牛コロナウイルス感染症ワクチン
４．犬コロナウイルス感染症ワクチン
５．馬鼻肺炎ワクチン
5",2,2,True
問16,猫カリシウイルス感染症に関する記述として正しいのはどれか。,"a  猫汎白血球減少症との類症鑑別が必要である。
b  有効な治療法はない。
c  ウイルスは主として腸管の細胞で増殖する。
d  弱毒生ワクチンおよび不活化ワクチンが市販されている。
e  回復した猫がキャリアーになることが多い。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",5,5,True
問17,ウマバエ幼虫症とその病原体に関する記述として適切なのはどれか。,"a  日本にはウマバエ（Gasterophilus intestinalis）のみが分布する。
b  冬期はさなぎとして外界で過ごす。
c  成虫は馬の糞便に産卵する。
d  特徴的な症状は胃炎や胃潰瘍である。
e  感染馬の口腔内組織に炎症や壊死が認められる場合がある。
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e",5,5,True
問18,イベルメクチンによる治療が有効な寄生虫症はどれか。,"a  糞線虫症
b  クリプトスポリジウム症
c  肝蛭症
d  ジアルジア症
e  疥癬
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
6",2,2,True
問19,腸管出血性大腸菌食中毒とその原因菌に関する記述として適切なのはどれか。,"１．鶏肉の生食を原因とすることが多い。
２．病原因子は耐熱性エンテロトキシンである。
３．溶血性尿毒症症候群（HUS）を発症することがある。
４．最少発症菌数は約 105 個である。
５．ヒトからヒトへの感染はない。",3,3,True
問20,アレルギー様食中毒と原因化学物質に関する記述として適切なのはどれか。,"１．白身の海産魚で多発する。
２．摂食後 2〜3 日で発症する。
３．モルガン菌などが産生するトリメチルアミンである。
４．ヒスチジンの脱炭酸反応により生成される。
５．アナフィラキシーにより重症化することが多い。",4,4,True
問21,食品添加物として表示義務があるのはどれか。,"１．油脂の製造で使用される抽出溶媒のヘキサン
２．ビールに使用されるコーンスターチ
３．酸化防止の目的で使用されるビタミン C
４．栄養強化剤の目的で使用されるβ−カロテン
５．ばら売り製品に使用される甘味料のステビア
7",3,3,True
問22,HACCP に関する記述として適切なのはどれか。,"１．12 原則を基本とする。
２．危害要因は微生物のみである。
３．CCP の監視方法として生菌数の測定が最適である。
４．管理基準から逸脱した際の改善措置を設定する必要はない。
５．記録の保管管理を確立する。",5,5,True
問23,「食品衛生法」の 2018 年改正に関する記述として誤っているのはどれか。,"１．HACCP に沿った衛生管理の制度化
２．家畜飼料における残留農薬基準の設定
３．食品用器具・容器包装へのポジティブリスト制度の導入
４．営業届出制度の創設
５．広域的な食中毒事案への対策強化",2,2,True
問24,「感染症の予防及び感染症の患者に対する医療に関する法律（感染症法）」において「特定病原体等」に指定されている細菌の毒素はどれか。,"a  志賀毒素（ベロ毒素）
b  セレウリド
c  コレラ毒素
d  破傷風毒素（神経毒）
e  ボツリヌス毒素
１．a,  b　　　２．a,  e　　　３．b,  c　　　４．c,  d　　　５．d,  e
8",2,5,False
問25,遺伝資源の利用から生ずる利益の公正かつ衡平な配分を実施するための手続きを定めた国際文書・協定はどれか。,"１．モントリオール議定書
２．アジェンダ 21
３．京都議定書
４．名古屋議定書
５．パリ協定",4,4,True
問26,我が国で 2019 年に 2 名の国内感染が初めて報告された、サルを感染源とする人獣共通感染症はどれか。,"１．結核
２．細菌性赤痢
３．サル痘
４．黄熱
５．B ウイルス感染症",5,5,True
問27,「環境汚染物質排出・移動登録制度（PRTR 制度）」に関する記述として正しいのはどれか。,"１．「化学物質の審査及び製造等の規制に関する法律（化審法）」で規定している。
２．全ての事業者が登録しなくてはならない。
３．第二種指定化学物質が対象物質である。
４．事業者は原則として都道府県経由で国に登録する。
５．家庭からの対象物質の排出量は集計に加えない。
9",4,3,False
問28,浄水処理に関する記述として適切なのはどれか。,"１．急速ろ過は微生物の作用によって処理する方法である。
２．緩速ろ過の前段階では凝集剤を用いて浮遊物質を沈殿除去する。
３．緩速ろ過は急速ろ過より小規模の施設で大量の水を処理できる。
４．高度浄水処理はかび臭の原因物質を除去する目的で用いられる。
５．結合残留塩素は遊離残留塩素より殺菌力が強い。",4,4,True
